,Facility_Pair,numpub_combine
0,"('ALBA-Spain', 'ALS-USA')",21
1,"('ALBA-Spain', 'ANKA-Germany')",4
2,"('ALBA-Spain', 'APS-USA')",26
3,"('ALBA-Spain', 'AS-Australian')",8
4,"('ALBA-Spain', 'BESSY-Germany')",40
5,"('ALBA-Spain', 'CHESS-USA')",1
6,"('ALBA-Spain', 'CLS-Canada')",2
7,"('ALBA-Spain', 'Diamond-UK')",139
8,"('ALBA-Spain', 'ELETTA-Italy')",46
9,"('ALBA-Spain', 'ESRF-France')",303
10,"('ALBA-Spain', 'HSRC-Japan')",1
11,"('ALBA-Spain', 'LNLS-Brazil')",9
12,"('ALBA-Spain', 'MAXIV-Sweden')",5
13,"('ALBA-Spain', 'MLS-Germany')",3
14,"('ALBA-Spain', 'NSLSii-USA')",16
15,"('ALBA-Spain', 'NSRRC-Taiwan(China)')",9
16,"('ALBA-Spain', 'PETRA-Germany')",88
17,"('ALBA-Spain', 'PF-Japan')",5
18,"('ALBA-Spain', 'PLS-Korea')",1
19,"('ALBA-Spain', 'SESAME-Jordan')",2
20,"('ALBA-Spain', 'SLS-Switzerland')",10
21,"('ALBA-Spain', 'SOLARIS-Poland')",2
22,"('ALBA-Spain', 'SOLEIL-France')",96
23,"('ALBA-Spain', 'SSRF-China')",1
24,"('ALBA-Spain', 'SSRL-USA')",2
25,"('ALBA-Spain', 'Spring8-Japan')",4
26,"('ALS-USA', 'ANKA-Germany')",22
27,"('ALS-USA', 'APS-USA')",1068
28,"('ALS-USA', 'AS-Australian')",69
29,"('ALS-USA', 'BESSY-Germany')",81
30,"('ALS-USA', 'BSRF-China')",12
31,"('ALS-USA', 'CHESS-USA')",21
32,"('ALS-USA', 'CLS-Canada')",254
33,"('ALS-USA', 'DESRF-Germany')",1
34,"('ALS-USA', 'Diamond-UK')",226
35,"('ALS-USA', 'ELETTA-Italy')",37
36,"('ALS-USA', 'ESRF-France')",142
37,"('ALS-USA', 'HSRC-Japan')",8
38,"('ALS-USA', 'ISRF-Denmark')",6
39,"('ALS-USA', 'LNLS-Brazil')",12
40,"('ALS-USA', 'MAXIV-Sweden')",34
41,"('ALS-USA', 'MLS-Germany')",26
42,"('ALS-USA', 'NSLSii-USA')",339
43,"('ALS-USA', 'NSRL-China')",77
44,"('ALS-USA', 'NSRRC-Taiwan(China)')",85
45,"('ALS-USA', 'PETRA-Germany')",138
46,"('ALS-USA', 'PF-Japan')",52
47,"('ALS-USA', 'PLS-Korea')",63
48,"('ALS-USA', 'SLS-Switzerland')",25
49,"('ALS-USA', 'SOLEIL-France')",38
50,"('ALS-USA', 'SSLS-Singapore')",4
51,"('ALS-USA', 'SSRF-China')",68
52,"('ALS-USA', 'SSRL-USA')",780
53,"('ALS-USA', 'Spring8-Japan')",58
54,"('ALS-USA', 'USORF-Japan')",2
55,"('ANKA-Germany', 'APS-USA')",6
56,"('ANKA-Germany', 'BESSY-Germany')",8
57,"('ANKA-Germany', 'CLS-Canada')",4
58,"('ANKA-Germany', 'DESRF-Germany')",2
59,"('ANKA-Germany', 'Diamond-UK')",22
