,CANDL-Armenia,AS-Australian,LNLS-Brazil,CLS-Canada,BSRF-China,NSRL-China,SSRF-China,ISRF-Denmark,ESRF-France,SOLEIL-France,ANKA-Germany,BESSY-Germany,DESRF-Germany,ELSA-Germany,MLS-Germany,PETRA-Germany,DAFNE-Italy,ELETTA-Italy,ASRC-Japan,HSRC-Japan,PF-Japan,RUSRC-Japan,SAGA-Japan,Spring8-Japan,USORF-Japan,SESAME-Jordan,PLS-Korea,SOLARIS-Poland,KSRS-Russia,SSLS-Singapore,ALBA-Spain,MAXIV-Sweden,SLS-Switzerland,NSRRC-Taiwan(China),Diamond-UK,ALS-USA,APS-USA,CHESS-USA,NSLSii-USA,SSRL-USA
CANDL-Armenia,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS-Australian,0,935,2,18,9,23,15,11,69,9,0,17,0,0,0,31,0,44,0,0,152,0,0,88,0,0,6,0,0,3,8,3,2,72,59,69,272,2,28,31
LNLS-Brazil,0,2,273,6,0,2,0,1,70,24,15,12,1,0,1,26,0,10,0,0,8,0,0,4,0,0,0,0,0,0,9,18,4,0,14,12,35,3,14,7
CLS-Canada,1,18,6,1219,30,14,53,1,31,19,4,26,0,0,0,13,0,11,0,0,8,0,0,11,2,0,6,0,0,0,2,7,2,22,25,254,608,14,75,155
BSRF-China,0,9,0,30,1394,417,962,3,9,5,0,4,0,0,0,21,0,3,0,0,36,0,0,20,0,0,3,0,0,2,0,3,0,27,13,12,84,0,39,34
NSRL-China,0,23,2,14,417,1195,752,1,2,4,0,15,0,0,5,6,0,7,0,0,30,0,0,3,1,0,9,0,0,3,0,3,4,39,10,77,39,1,12,26
SSRF-China,1,15,0,53,962,752,2037,4,11,3,3,15,0,0,2,28,0,5,0,2,59,0,0,56,0,2,9,0,0,2,1,3,21,65,49,68,154,3,54,35
ISRF-Denmark,0,11,1,1,3,1,4,141,11,23,0,7,0,0,0,28,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,1,14,6,0,0,6,0
ESRF-France,0,69,70,31,9,2,11,11,5190,713,74,382,16,0,6,1247,0,274,0,4,44,0,0,92,1,0,7,5,20,1,303,289,56,30,1383,142,349,11,142,123
SOLEIL-France,0,9,24,19,5,4,3,23,713,1450,11,41,2,0,10,148,0,116,0,2,26,0,0,34,5,1,4,2,2,0,96,34,34,22,195,38,57,1,27,26
ANKA-Germany,0,0,15,4,0,0,3,0,74,11,202,8,2,0,0,44,0,4,0,0,0,0,0,3,0,1,0,0,0,0,4,2,10,3,22,22,6,0,0,1
BESSY-Germany,0,17,12,26,4,15,15,7,382,41,8,1461,5,0,175,375,0,89,0,7,6,0,0,22,3,0,2,3,6,0,40,123,41,16,127,81,38,1,18,21
DESRF-Germany,0,0,1,0,0,0,0,0,16,2,2,5,56,1,1,25,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,2,0,0,1
ELSA-Germany,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLS-Germany,0,0,1,0,0,5,2,0,6,10,0,175,1,0,300,81,0,3,0,0,1,0,0,1,0,0,0,0,0,0,3,1,2,0,2,26,2,0,4,2
PETRA-Germany,1,31,26,13,21,6,28,28,1247,148,44,375,25,0,81,3058,0,154,0,2,33,0,0,87,1,0,8,6,7,0,88,181,44,16,370,138,268,13,78,65
DAFNE-Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ELETTA-Italy,0,44,10,11,3,7,5,36,274,116,4,89,2,0,3,154,1,959,0,6,21,0,0,13,0,3,0,12,0,3,46,37,22,4,81,37,39,0,17,26
ASRC-Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSRC-Japan,0,0,0,0,0,0,2,0,4,2,0,7,0,0,0,2,0,6,0,86,15,1,0,20,13,0,1,0,0,0,1,1,1,2,8,8,0,0,1,14
PF-Japan,0,152,8,8,36,30,59,0,44,26,0,6,0,0,1,33,0,21,2,15,2044,23,5,1375,42,0,101,0,0,0,5,5,5,33,30,52,56,0,26,25
RUSRC-Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,48,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAGA-Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,26,21,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
